수율,형태,생산중량,제품길이,제품두께,품종,완제형태,Billet 규격,Hole수
0.783167,환봉,2436,3825,24,3772,ROD,1600,1
0.852627,환봉,2346,4000,16,3772,ROD,1600,1
0.879348,환봉,852,0,9,2700,Coil,900,3
0.855237,환봉,2346,3000,16,3772,ROD,1600,1
0.866795,환봉,2284,3500,22,3772,ROD,1600,1
0.895822,환봉,1138,0,7,2800,Coil,1200,3
0.874012,환봉,2346,3900,24,3772,ROD,1600,1
0.862951,환봉,819,0,9,2700,Coil,900,3
0.857143,환봉,2300,3000,22.22,3772,ROD,1600,1
0.862214,환봉,2346,6000,22,3772,ROD,1600,1
0.544581,환봉,2311,3000,80,3774,ROD,1600,1
0.822116,환봉,2315,4000,26.98,3772,ROD,1600,1
0.863258,환봉,2315.325,3770,20,3772,ROD,1600,1
0.710523,환봉,3092,3000,44,3772,ROD,1600,1
0.819241,환봉,2355,3000,23,3604,ROD,1600,1
0.756749,환봉,3128,4000,45,3772,ROD,1600,1
0.793514,환봉,2275,3000,55,3772,ROD,1200,1
0.874012,환봉,2346,3900,24,3772,ROD,1600,1
0.883374,환봉,2346,4500,20,3772,ROD,1600,1
0.787056,환봉,1548,3000,28,3771,ROD,1600,1
0.821202,환봉,3092,4000,38,3772,ROD,1600,1
0.870342,환봉,2300,3770,20,3772,ROD,1600,1
0.870826,환봉,819,0,9,2700,Coil,900,3
0.775536,환봉,3092,3000,33,3772,ROD,1600,1
0.875,환봉,2364,2500,16,3604,ROD,1600,1
0.608672,육각,1738,2500,21,3604,ROD,1200,1
0.845183,환봉,819,0,7,2700,Coil,900,3
0.835074,환봉,2321,3000,26,3771,ROD,1600,1
0.817492,환봉,3128,4000,40,3772,ROD,1600,1
0.902109,환봉,3066,4000,45,3772,ROD,1600,1
0.649477,환봉,1150,0,7,3604,Coil,1200,2
0.594599,육각,2343,2500,27,3604,ROD,1600,1
0.689883,육각,2340,1100,18,3604,ROD,1200,1
0.706707,환봉,1539,3000,28,3604,ROD,1600,1
0.868022,환봉,819,0,9,2700,Coil,900,3
0.829757,환봉,2337,4000,28,3771,ROD,1600,1
0.881666,환봉,1117,0,7,2800,Coil,1200,3
0.843616,환봉,2346,5000,24,3773,ROD,1600,1
0.861807,환봉,2343,4000,26.5,3773,ROD,1600,1
0.854146,환봉,1580,3000,20,3604,ROD,1600,1
0.765919,환봉,3456,4000,50,3772,ROD,1200,1
0.829895,환봉,3092,3000,32,3772,ROD,1600,1
0.820127,환봉,3092,3000,31.75,3772,ROD,1600,1
0.844518,환봉,2352,4000,28,3771,ROD,1600,1
0.748513,환봉,1127,3560,8,3772,ROD,1200,3
0.818011,환봉,2343,3825,24,3772,ROD,1600,1
0.865882,환봉,2352,3000,26,3771,ROD,1600,1
0.854248,환봉,858,0,9,2700,Coil,900,3
0.762177,환봉,3095,4000,34,3771,ROD,1600,1
0.883369,환봉,1522.922,3000,13.5,3772,ROD,1600,1
0.88184,환봉,2346,5500,22,3772,ROD,1600,1
0.829757,환봉,2352,4000,28,3771,ROD,1600,1
0.856015,환봉,2346,4000,24.2,3773,ROD,1600,1
0.845183,환봉,819,0,7,2700,Coil,900,3
0.748513,환봉,1127,3560,8,3772,ROD,1200,3
0.883251,환봉,1562,6000,18,3772,ROD,1600,1
0.877926,환봉,819,0,9,2700,Coil,900,3
0.826585,환봉,2336,2500,16,3604,ROD,1600,1
0.797932,환봉,2364,2500,16,3604,ROD,1600,1
0.79064,환봉,3124,3000,45,3772,ROD,1600,1
0.818436,환봉,3100,3000,32,3771,ROD,1600,1
0.803941,환봉,1092,0,7,2800,Coil,1200,3
0.566938,육각,2340,3000,19,3604,ROD,1200,1
0.874798,환봉,2315.325,3770,20,3772,ROD,1600,1
0.839838,환봉,1137.55,3000,9,3772,ROD,1200,3
0.673403,육각,1771,2500,12,3604,ROD,1200,1
0.699755,환봉,3885.5,2500,18,3604,ROD,1600,1
0.830751,환봉,3092,4000,40,3772,ROD,1600,1
0.782135,환봉,2287.1,3000,20,3606,ROD,1200,1
0.823781,환봉,833,0,7,2720,Coil,900,3
0.85197,환봉,2346,3500,26,3772,ROD,1600,1
0.810562,환봉,910,0,10,1100,Coil,900,3
0.899051,환봉,2367,0,14,3604,Coil,1600,1
0.817108,환봉,2316,3000,15.3,3773,ROD,1200,1
0.823422,환봉,2315,4000,24.5,3772,ROD,1600,1
0.834052,환봉,3092,4000,35,3772,ROD,1600,1
0.746772,환봉,2319,3000,70,3772,ROD,1600,1
0.871745,환봉,2346,5000,24,3773,ROD,1600,1
0.871374,환봉,2296,4000,12.7,3772,ROD,1200,1
0.86407,환봉,1564,3400,25,3772,ROD,1600,1
0.796014,환봉,2340,3400,24,3772,ROD,1600,1
0.872303,환봉,2346,4000,24.2,3773,ROD,1600,1
0.779009,환봉,771.775,3400,30,3772,ROD,1600,1
0.820813,환봉,1546,3000,32,3772,ROD,1600,1
0.653025,환봉,1192,3560,7.9,3775,ROD,1200,2
0.874546,환봉,2315.325,3825,24,3772,ROD,1600,1
0.891716,환봉,2337,4000,28,3771,ROD,1600,1
0.752463,환봉,3066.472,4500,38.5,3772,ROD,1600,1
0.829708,환봉,1139,0,6,3604,Coil,1200,3
0.585366,육각,542,2500,12,3604,ROD,1200,1
0.830751,환봉,3092,4000,40,3772,ROD,1600,1
0.830467,환봉,2410.613,4000,28,3771,ROD,1600,1
0.84375,환봉,2346,4000,25,3772,ROD,1600,1
0.872604,환봉,2315.325,3825,24,3772,ROD,1600,1
0.836889,환봉,819,0,7,2700,Coil,900,3
0.57439,육각,2328,3000,23,3604,ROD,1200,1
0.881402,환봉,790,2500,15,3604,ROD,1600,1
0.752174,환봉,612.64,0,7,2700,Coil,900,3
0.817221,환봉,2340,3825,24,3772,ROD,1600,1
0.742971,환봉,724.032,0,7,2700,Coil,900,3
0.627371,육각,3448.65,3000,23,3604,ROD,1200,1
0.815864,환봉,2300,3825,24,3772,ROD,1600,1
0.836528,환봉,2315,6000,25,3772,ROD,1600,1
0.736052,환봉,3124,3000,33.35,3604,ROD,1600,1
0.799674,환봉,784,0,7,2700,Coil,900,3
0.756096,환봉,3092,4000,32,3772,ROD,1600,1
0.755308,환봉,781,3500,32,3772,ROD,1600,1
0.826231,환봉,2352,3000,28,3771,ROD,1600,1
0.79126,환봉,2355,2500,22,3604,ROD,1600,1
0.612903,육각,1749,3000,18,3604,ROD,1200,1
0.808151,환봉,2315.325,3000,15.3,3772,ROD,1600,1
0.863896,환봉,2340,4000,20,3773,ROD,1600,1
0.773623,환봉,3120,4500,38.5,3772,ROD,1600,1
0.753695,환봉,643,3000,31.75,3772,ROD,1600,1
0.889901,환봉,2346,3400,27,3772,ROD,1600,1
0.546826,환봉,2343,3400,27,3772,ROD,1600,1
0.822154,환봉,2339.325,2500,21.8,3604,ROD,1600,1
0.816957,환봉,819,0,9,2700,Coil,900,3
0.653025,환봉,1199,3560,7.9,3772,ROD,1200,2
0.798896,환봉,3092,3000,45,3772,ROD,1600,1
0.803808,환봉,3100,4000,34,3771,ROD,1600,1
0.615854,환봉,3160,3600,31.75,3604,ROD,1600,1
0.839344,환봉,571,0,11.5,1222,Coil,900,3
0.829878,환봉,2367,3000,15,3604,ROD,1600,1
0.808434,환봉,2315.325,4000,28,3772,ROD,1600,1
0.682266,환봉,753,4000,43,3772,ROD,800,1
0.697213,육각,2340,2500,17.46,3604,ROD,1200,1
0.859195,환봉,2300,5500,25,3772,ROD,1600,1
0.843112,환봉,833,0,7,2720,Coil,900,3
0.835905,환봉,819,0,7,2700,Coil,900,3
0.75431,환봉,3092,4500,45.3,3772,ROD,1600,1
0.907964,환봉,2346,6000,20,3772,ROD,1600,1
0.812984,환봉,2346,5000,26,3773,ROD,1600,1
0.829708,환봉,1139,0,6,3604,Coil,1200,3
0.799415,환봉,2346,3000,21,3772,ROD,1600,1
0.79436,환봉,2370,2500,16.5,3604,ROD,1600,1
0.601278,환봉,2346,4000,70,3772,ROD,1600,1
0.915416,환봉,2340,0,10,3604,Coil,1200,1
0.85249,환봉,2346,5500,20,3772,ROD,1600,1
0.833333,환봉,2370,2500,27,3604,ROD,1600,1
